\'em            ax m sp
notes           n ow t s sp
nothin          n ah th ix n sp
nothing         n ah th ih ng sp
notice          n ow t ix s sp
notices         n ow t ix s ix z sp
notoriety       n ow t axr ay ax t iy sp
novel           n aa v el sp
novelists       n aa v el ix s t s sp
novelty         n aa v el t iy sp
now             n aw sp
nowadays        n aw ax d ey z sp
nowhere         n ow hh w ae r sp
nuclear         n uw k l iy axr sp
nucleus         n uw k l iy ax s sp
numb            n ah m sp
number          n ah m b axr sp
numbering       n ah m b axr ix ng sp
numbness        n ah m n ix s sp
numerous        n uw m axr ax s sp
nutrients       n uw t r iy ax n t s sp
nuts            n ah t s sp
o'              ow sp
o'clock         ax k l aa k sp
oak             ow k sp
oatmeal         ow t m iy l sp
oats            ow t s sp
obeying         ow b ey ix ng sp
object          aa b jh eh k t sp
object          ax b jh eh k t sp
objective       ax b jh eh k t ih v sp
objectives      ax b jh eh k t ih v z sp
objects         aa b jh eh k t s sp
observe         ax b z er v sp
observers       ax b z er v axr z sp
obsession       aa b s eh sh ix n sp
obsolescent     aa b s ax l eh s en t sp
obstacles       aa b s t ih k el z sp
obtained        ax b t ey n d sp
obtaining       ax b t ey n ix ng sp
obviously       aa b v iy ax s l iy sp
occasionally    ax k ey zh ix n ax l iy sp
occupied        aa k y uw p ay d sp
occur           ax k er sp
occurs          ax k er z sp
ocean           ow sh ix n sp
ocean's         ow sh ix n z sp
oceanographic   ow sh ix n ax g r ae f ih k sp
odd             aa d sp
odds            aa d z sp
odor            ow d axr sp
of              ax v sp
off             ao f sp
offensive       ax f eh n s ih v sp
offer           ao f axr sp
offered         ao f axr d sp
offering        ao f axr ix ng sp
office          ao f ax s sp
officer         ao f ax s axr sp
officers        ao f ax s axr z sp
offices         ao f ax s ix z sp
official        ax f ih sh el sp
officials       ax f ih sh el z sp
often           ao f ax n sp
ogress          ow g r eh s sp
oh              ow sp
oil             oy l sp
oily            oy l iy sp
ointment        oy n t m ax n t sp
old             ow l d sp
older           ow l d axr sp
ole             ow l sp
olive           aa l ih v sp
on              ao n sp
once            w ah n s sp
one             w ah n sp
one's           w ah n z sp
ones            w ah n z sp
onion           ah n y ax n sp
only            ow n l iy sp
onto            ao n t uw sp
oozed           uw z d sp
opaque          ow p ey k sp
open            ow p ax n sp
opened          ow p ax n d sp
opens           ow p ax n z sp
operated        aa p axr ey t ix d sp
operates        aa p axr ey t s sp
operation       aa p axr ey sh ix n sp
opinions        ax p ih n y ax n z sp
opium           ow p iy ax m sp
opportunity     aa p axr t uw n ix t iy sp
opposing        ax p ow z ix ng sp
opposite        aa p ax z ix t sp
oppressive      ax p r eh s ih v sp
optical         aa p t ih k el sp
optimal         aa p t ax m el sp
or              ao r sp
orange          ao r ih n jh sp
oratorical      ao r ax t ao r ih k el sp
orchestra       ao r k ix s t r ax sp
order           ao r d axr sp
ordering        ao r d axr ix ng sp
organism        ao r g ix n ih z em sp
organizations   ao r g ix n ix z ey sh ix n z sp
oriented        ao r iy eh n t ix d sp
origin          ao r ix jh ix n sp
original        ao r ih jh ix n el sp
originals       ao r ih jh ix n el z sp
orthodontic     ao r th ax d aa n t ih k sp
orthodontist    ao r th ax d aa n t ih s t sp
other           ah dh axr sp
others          ah dh axr z sp
otherwise       ah dh axr w ay z sp
otto's          aa t ow z sp
ought           ao t sp
our             aw r sp
ourselves       aw r s eh l v z sp
out             aw t sp
outage          aw t ix jh sp
outcast         aw t k ae s t sp
outcome         aw t k ah m sp
outdoors        aw t d ao r z sp
outer           aw t axr sp
outfielders     aw t f iy l d axr z sp
outfit          aw t f ih t sp
outgrow         aw t g r ow sp
outlaws         aw t l ao z sp
outlook         aw t l uh k sp
outpost         aw t p ow s t sp
outputs         aw t p uh t s sp
outset          aw t s eh t sp
outside         aw t s ay d sp
outstanding     aw t s t ae n d ix ng sp
outward         aw t w axr d sp
over            ow v axr sp
overboard       ow v axr b ao r d sp
overcame        ow v er k ey m sp
overeating      ow v axr iy t ix ng sp
overflowed      ow v axr f l ow d sp
overhangs       ow v axr hh ae ng z sp
overhead        ow v axr hh eh d sp
overlap         ow v axr l ae p sp
overlapping     ow v axr l ae p ix ng sp
overloaded      ow v axr l ow d ix d sp
overly          ow v axr l iy sp
overnight       ow v axr n ay t sp
overnighters    ow v axr n ay t axr z sp
overplayed      ow v axr p l ey d sp
overprotection  ow v axr p r ax t eh k sh ix n sp
overriding      ow v axr r ay d ix ng sp
oversized       ow v axr s ay z d sp
overtake        ow v axr t ey k sp
overthrow       ow v axr th r ow sp
overweight      ow v er w ey t sp
overwhelm       ow v axr w eh l m sp
overwhelmed     ow v axr w eh l m d sp
own             ow n sp
owner           ow n axr sp
owns            ow n z sp
oyster          oy s t axr sp
oysters         oy s t axr z sp
pa              p aa sp
pace            p ey s sp
pack            p ae k sp
package         p ae k ih jh sp
packing         p ae k ix ng sp
padlock         p ae d l aa k sp
paid            p ey d sp
pail            p ey l sp
pain            p ey n sp
paintings       p ey n t ix ng z sp
pair            p ae r sp
pairs           p ae r z sp
pale            p ey l sp
palpably        p ae l p ax b l iy sp
pamphlets       p ae m f l ix t s sp
pan             p ae n sp
panelization    p ae n el ay z ey sh ix n sp
panic           p ae n ih k sp
pansies         p ae n z iy z sp
papaya          p ax p ay ax sp
paper           p ey p axr sp
paperweight     p ey p axr w ey t sp
parades         p axr ey d z sp
paragraph       p ae r ax g r ae f sp
parallel        p ae r ax l eh l sp
paralysis       p axr ae l ix s ix s sp
paranoid        p ae r ax n oy d sp
pardon          p aa r d ix n sp
park            p aa r k sp
parking         p aa r k ix ng sp
parrots         p ae r ax t s sp
part            p aa r t sp
parted          p aa r t ix d sp
participants    p aa r t ih s ax p ax n t s sp
participate     p aa r t ih s ax p ey t sp
participates    p aa r t ih s ax p ey t s sp
particular      p axr t ih k y uh l axr sp
particularly    p axr t ih k y uh l axr l iy sp
parties         p aa r t iy z sp
partly          p aa r t l iy sp
parts           p aa r t s sp
pass            p ae s sp
passed          p ae s t sp
passive         p ae s ih v sp
past            p ae s t sp
paste           p ey s t sp
pastime         p ae s t ay m sp
path            p ae th sp
pathetic        p ax th eh t ih k sp
pathological    p ae th ax l aa jh ih k el sp
patient         p ey sh ix n t sp
patrons         p ey t r ax n z sp
pattern         p ae t axr n sp
patterns        p ae t axr n z sp
pause           p ao z sp
pay             p ey sp
payments        p ey m ax n t s sp
pays            p ey z sp
peace           p iy s sp
peach           p iy ch sp
peaches         p iy ch ix z sp
pearls          p er l z sp
peas            p iy z sp
peculiar        p ax k y uw l y axr sp
peeling         p iy l ix ng sp
penalty         p eh n el t iy sp
pendulum        p eh n jh ax l ax m sp
penetrated      p eh n ix t r ey t ix d sp
penguins        p eh ng g w ax n z sp
penicillin      p eh n ix s ih l ix n sp
people          p iy p el sp
peppered        p eh p axr d sp
per             p er sp
perennial       p axr eh n iy el sp
perfect         p er f eh k t sp
perfectly       p er f eh k t l iy sp
performance     p axr f ao r m ax n s sp
performances    p axr f ao r m ax n s ix z sp
performers      p axr f ao r m axr z sp
perhaps         p axr hh ae p s sp
perils          p eh r el z sp
period          p ih r iy ix d sp
periodical      p ih r iy aa d ix k el sp
periodically    p ih r iy aa d ix k l iy sp
permanent       p er m ax n ix n t sp
permit          p er m ih t sp
perpendicular   p er p ix n d ih k y uh l axr sp
person          p er s ix n sp
personal        p er s ix n el sp
personality     p er s ix n ae l ix t iy sp
personalized    p er s ix n ax l ay z d sp
personnel       p er s ix n eh l sp
persons         p er s ix n z sp
pert            p er t sp
pertinent       p er t en ix n t sp
pervasive       p er v ey s ih v sp
perverse        p er v er s sp
pessimism       p eh s ax m ih z em sp
pests           p eh s t s sp
petting         p eh t ix ng sp
petty           p eh t iy sp
phase           f ey z sp
phenomenon      f ih n aa m ax n aa n sp
phil's          f ih l z sp
phone           f ow n sp
phones          f ow n z sp
photochemical   f ow t ax k eh m ix k el sp
photographs     f ow t ow g r ae f s sp
photos          f ow t ow z sp
physical        f ih z ih k el sp
piano           p iy ae n ow sp
pick            p ih k sp
picked          p ih k t sp
picket          p ih k ix t sp
pickpocket      p ih k p aa k ix t sp
pickpockets     p ih k p aa k ix t s sp
picture         p ih k ch axr sp
pictures        p ih k ch axr z sp
pie             p ay sp
piece           p iy s sp
piecemeal       p iy s m iy l sp
pieces          p iy s ix z sp
pig             p ih g sp
pigeons         p ih jh ix n z sp
pile            p ay l sp
piled           p ay l d sp
pills           p ih l z sp
pilots          p ay l ax t s sp
pilots'         p ay l ax t s sp
pine            p ay n sp
pink            p ih ng k sp
pins            p ih n z sp
pint            p ay n t sp
pinto           p ih n t ow sp
pioneer         p ay ax n ih r sp
piped           p ay p t sp
pistachio       p ax s t ae sh iy ow sp
pit             p ih t sp
pitch           p ih ch sp
pitched         p ih ch t sp
pitcher         p ih ch axr sp
pitiable        p ih t iy ax b el sp
pity            p ih t iy sp
place           p l ey s sp
placed          p l ey s t sp
places          p l ey s ix z sp
plan            p l ae n sp
plane           p l ey n sp
planes          p l ey n z sp
planets         p l ae n ix t s sp
planning        p l ae n ix ng sp
plant           p l ae n t sp
planted         p l ae n t ix d sp
plasters        p l ae s t axr z sp
plate           p l ey t sp
platform        p l ae t f ao r m sp
play            p l ey sp
played          p l ey d sp
player          p l ey axr sp
players         p l ey axr z sp
playin'         p l ey en sp
please          p l iy z sp
pleasure        p l eh zh axr sp
pledge          p l eh jh sp
plenty          p l eh n t iy sp
plow            p l aw sp
plymouth        p l ih m ix th sp
plywood         p l ay w uh d sp
pneumonia       n uh m ow n y ax sp
pocket          p aa k ix t sp
pockets         p aa k ix t s sp
poems           p ow ax m z sp
poetry          p ow ax t r iy sp
poets           p ow ax t s sp
poignancy       p oy n y ax n t s iy sp
point           p oy n t sp
pointing        p oy n t ix ng sp
points          p oy n t s sp
poised          p oy z d sp
poison          p oy z en sp
poisonous       p oy z ix n ix s sp
policeman       p ax l iy s m ae n sp
policy          p aa l ix s iy sp
polished        p aa l ih sh t sp
politeness      p ax l ay t n ix s sp
political       p ax l ih t ih k el sp
pompousness     p aa m p ah s n ix s sp
pool            p uw l sp
pools           p uw l z sp
poor            p uh r sp
pop             p aa p sp
populace        p aa p y uh l ax s sp
popularity      p aa p y uh l ae r ax t iy sp
population      p aa p y uh l ey sh ix n sp
porch           p ao r ch sp
porcupines      p ao r k y uw p ay n z sp
portray         p ao r t r ey sp
portrayal       p ao r t r ey el sp
position        p ax z ih sh ix n sp
positive        p aa z ix t ih v sp
possessed       p ax z eh s t sp
possibility     p aa s ix b ih l ix t iy sp
possible        p aa s ix b el sp
post            p ow s t sp
postdate        p ow s t d ey t sp
postponed       p ow s t p ow n d sp
pottery         p aa t axr iy sp
poultices       p ow l t ix s ix z sp
pound           p aw n d sp
pouring         p ao r ix ng sp
powder          p aw d axr sp
power           p aw axr sp
powered         p aw axr d sp
powerful        p aw axr f uh l sp
powerfully      p aw axr f uh l iy sp
powers          p aw axr z sp
practical       p r ae k t ih k el sp
practically     p r ae k t ih k ax l iy sp
practiced       p r ae k t ih s t sp
practices       p r ae k t ih s ix z sp
praises         p r ey z ix z sp
prayed          p r ey d sp
preached        p r iy ch t sp
precariously    p r ih k ae r iy ax s l iy sp
precaution      p r ih k ao sh ix n sp
preceded        p r iy s iy d ix d sp
precincts       p r iy s ih ng k t s sp
precision       p r ih s ih zh ix n sp
predicament     p r ih d ih k ax m ax n t sp
predispositions p r iy d ih s p ax z ih sh ix n z sp
prefers         p r ih f er z sp
premiums        p r iy m iy ax m z sp
preoccupied     p r iy aa k y uw p ay d sp
prepare         p r ih p ae r sp
prepared        p r ih p ae r d sp
preparing       p r ih p ae r ix ng sp
preprepared     p r iy p r ih p ae r d sp
prerequisite    p r iy r eh k w ax z ix t sp
preschooler     p r iy s k uw l axr sp
prescribe       p r ih s k r ay b sp
prescription    p r ih s k r ih p sh ix n sp
present         p r eh z en t sp
present         p r ih z eh n t sp
presented       p r ax z eh t ix d sp
presents        p r ih z eh n t s sp
preservation    p r eh z axr v ey sh ix n sp
preserved       p r ih z er v d sp
president       p r eh z ix d ix n t sp
pressure        p r eh sh axr sp
presumed        p r ih z uw m d sp
presumes        p r ih z uw m z sp
pretend         p r ih t eh n d sp
pretty          p r ih t iy sp
prevent         p r ax v eh n t sp
prevented       p r ax v eh n t ix d sp
preventing      p r ax v eh n t ix ng sp
previous        p r iy v iy ax s sp
price           p r ay s sp
prices          p r ay s ix z sp
primacy         p r ay m ax s iy sp
primarily       p r ay m eh r ax l iy sp
primitive       p r ih m ax t ih v sp
principles      p r ih n s ix p el z sp
print           p r ih n t sp
prints          p r ih n t s sp
priorities      p r ay ao r ix t iy z sp
priority        p r ay ao r ix t iy sp
prison          p r ih z en sp
prisoner        p r ih z en axr sp
private         p r ay v ax t sp
privately       p r ay v ax t l iy sp
privations      p r ay v ey sh ix n z sp
prizes          p r ay z ix z sp
probabilities   p r aa b ax b ih l ix t iy z sp
probably        p r aa b ax b l iy sp
probes          p r ow b z sp
problem         p r aa b l ax m sp
problems        p r aa b l ax m z sp
procaine        p r ow k ey n sp
procedure       p r ax s iy jh axr sp
proceeds        p r ow s iy d z sp
process         p r aa s eh s sp
processed       p r aa s eh s t sp
produced        p r ow d uw s t sp
professional    p r ax f eh sh ix n el sp
profit          p r aa f ix t sp
profits         p r aa f ix t s sp
program         p r ow g r ae m sp
programs        p r ow g r ae m z sp
progress        p r aa g r eh s sp
progression     p r ax g r eh sh ix n sp
project         p r aa jh eh k t sp
project         p r ax jh eh k t sp
projected       p r aa jh eh k t ix d sp
prominent       p r aa m ax n ix n t sp
prompted        p r aa m p t ix d sp
promptly        p r aa m p t l iy sp
pronoun         p r ow n aw n sp
pronunciation   p r ax n ah n s iy ey sh ix n sp
proof           p r uw f sp
proper          p r aa p axr sp
property        p r aa p axr t iy sp
prophets        p r aa f ax t s sp
prose           p r ow z sp
protected       p r ax t eh k t ix d sp
protein         p r ow t iy n sp
protests        p r ow t eh s t s sp
proud           p r aw d sp
prove           p r uw v sp
proved          p r uw v d sp
proven          p r uw v ax n sp
provide         p r ax v ay d sp
provided        p r ax v ay d ix d sp
provides        p r ax v ay d z sp
provisions      p r ax v ih zh ix n z sp
provocatively   p r ax v aa k ix t ih v l iy sp
provoked        p r ax v ow k t sp
prowler         p r aw l axr sp
psychiatrist    s ay k ay ax t r ih s t sp
psychological   s ay k ax l aa jh ih k el sp
public          p ah b l ih k sp
publicity       p ah b l ih s ix t iy sp
published       p ah b l ih sh t sp
pull            p uh l sp
pulled          p uh l d sp
pulling         p uh l ix ng sp
pumped          p ah m p t sp
pumps           p ah m p s sp
punch           p ah n ch sp
pungent         p ah n jh ix n t sp
punish          p ah n ih sh sp
punishment      p ah n ih sh m ax n t sp
puny            p y uw n iy sp
purchased       p er ch ix s t sp
pure            p y uh r sp
puree           p y uh r ey sp
purists         p y uh r ix s t s sp
purple          p er p el sp
purposeless     p er p ax s l ax s sp
purposely       p er p ax s l iy sp
pursed          p er s t sp
pursuing        p axr s uw ix ng sp
push            p uh sh sp
put             p uh t sp
puzzlement      p ah z el m ax n t sp
quality         k w aa l ix t iy sp
quarrel         k w ao r el sp
quarrels        k w ao r el z sp
quarter         k w ao r t axr sp
queen           k w iy n sp
querulous       k w eh r el ax s sp
question        k w eh s ch ix n sp
questions       k w eh s ch ix n z sp
quick           k w ih k sp
quickly         k w ih k l iy sp
quieted         k w ay ix t ix d sp
quietly         k w ay ix t l iy sp
quince          k w ih n s sp
quite           k w ay t sp
rabbit          r ae b ix t sp
rabies          r ey b iy z sp
raccoons        r ae k uw n z sp
rachel's        r ey ch el z sp
racing          r ey s ix ng sp
rack            r ae k sp
radar           r ey d aa r sp
radiation       r ey d iy ey sh ix n sp
radio           r ey d iy ow sp
radioactive     r ey d iy ow ae k t ix v sp
rag             r ae g sp
rags            r ae g z sp
rain            r ey n sp
rains           r ey n z sp
raisers         r ey z axr z sp
raisins         r ey z en z sp
raked           r ey k t sp
ralph           r ae l f sp
ran             r ae n sp
ranch           r ae n ch sp
random          r ae n d ax m sp
rang            r ae ng sp
range           r ey n jh sp
rapid           r ae p ix d sp
rapidly         r ae p ax d l iy sp
rare            r ae r sp
rarely          r ae r l iy sp
rasped          r ae s p t sp
rate            r ey t sp
rated           r ey t ix d sp
rates           r ey t s sp
rattled         r ae t el d sp
rattlesnake     r ae t el s n ey k sp
raw             r ao sp
ray             r ey sp
reach           r iy ch sp
reached         r iy ch t sp
reaction        r iy ae k sh ix n sp
read            r eh d sp
read            r iy d sp
reader          r iy d axr sp
readiness       r eh d ih n ix s sp
reading         r iy d ix ng sp
reads           r iy d z sp
ready           r eh d iy sp
real            r iy l sp
realism         r iy l ih z em sp
realistic       r iy l ih s t ih k sp
reality         r iy ae l ix t iy sp
realize         r iy l ay z sp
realizing       r iy l ay z ix ng sp
really          r iy l iy sp
rearrange       r iy ax r ey n jh sp
reason          r iy z en sp
reasonable      r iy z en ax b el sp
reasonably      r iy z en ax b l iy sp
reassure        r iy ax sh uh r sp
reassuring      r iy ax sh uh r ix ng sp
recall          r ih k ao l sp
recalled        r ih k ao l d sp
received        r ih s iy v d sp
receiving       r ih s iy v ix ng sp
recent          r iy s en t sp
receptacle      r ih s eh p t ih k el sp
reception       r ih s eh p sh ix n sp
recognition     r eh k ax g n ih sh ix n sp
recognize       r eh k ax g n ay z sp
recognized      r eh k ax g n ay z d sp
recoiled        r ih k oy l d sp
recommended     r eh k ax m eh n d ix d sp
reconnaissance  r ih k aa n ix z ix n s sp
reconsider      r iy k ix n s ih d axr sp
reconsidered    r iy k ix n s ih d axr d sp
record          r eh k axr d sp
records         r eh k axr d z sp
recreation      r eh k r iy ey sh ix n sp
recuperating    r ih k uw p axr ey t ix ng sp
red             r eh d sp
redecorating    r iy d eh k er ey t ih ng sp
redeposition    r iy d eh p ax z ih sh ix n sp
redheads        r eh d hh eh d z sp
redoubled       r ax d ah b el d sp
reduced         r ih d uw s t sp
reducing        r ih d uw s ix ng sp
reduction       r ih d ah k sh ix n sp
redwoods        r eh d w uh d z sp
reference       r eh f axr n s sp
referred        r ih f er d sp
reflect         r ih f l eh k t sp
reflects        r ih f l eh k t s sp
reflexes        r iy f l eh k s ix z sp
refrigerator    r ih f r ih jh axr ey t axr sp
refund          r iy f ah n d sp
refurbishing    r ih f er b ih sh ix ng sp
refusal         r ih f y uw z el sp
refuse          r ih f y uw z sp
regard          r ih g aa r d sp
regarding       r ih g aa r d ix ng sp
regenerating    r iy jh eh n axr ey t ix ng sp
regular         r eh g y uh l axr sp
regulations     r eh g y uh l ey sh ix n z sp
related         r ih l ey t ix d sp
relationship    r ih l ey sh ix n sh ih p sp
relatively      r eh l ix t ih v l iy sp
relaxed         r ih l ae k s t sp
release         r ih l iy s sp
released        r ih l iy s t sp
relief          r ih l iy f sp
relieved        r ih l iy v d sp
relieving       r ih l iy v ix ng sp
religion        r ih l ih jh ix n sp
relinquishing   r ih l ih ng k w ih sh ix ng sp
remain          r ih m ey n sp
remained        r ih m ey n d sp
remaining       r ih m ey n ix ng sp
remains         r ih m ey n z sp
remember        r ih m eh m b axr sp
remembered      r ih m eh m b axr d sp
remembers       r ih m eh m b axr z sp
remembrance     r ih m eh m b r ix n s sp
reminded        r ih m ay n d ix d sp
reminds         r ih m ay n d z sp
reminiscence    r eh m ax n ih s ix n s sp
removal         r ih m uw v el sp
remove          r ih m uw v sp
rent            r eh n t sp
reorganization  r iy ao r g ix n ay z ey sh ix n sp
repainted       r ix p ey n t ix d sp
repainting      r ix p ey n t ix ng sp
repeat          r ih p iy t sp
repeated        r ih p iy t ix d sp
repetition      r eh p ax t ih sh ix n sp
replace         r ih p l ey s sp
replaced        r ih p l ey s t sp
replenish       r ih p l eh n ih sh sp
replied         r ih p l ay d sp
reply           r ih p l ay sp
report          r ih p ao r t sp
reporters       r ih p ao r t axr z sp
reportorial     r eh p axr t ao r iy el sp
reports         r ih p ao r t s sp
represent       r eh p r iy z eh n t sp
represents      r eh p r iy z eh n t s sp
reproduce       r iy p r ax d uw s sp
repugnant       r ih p ah g n ix n t sp
required        r ih k w ay axr d sp
requirements    r ih k w ay axr m ax n t s sp
requires        r ih k w ay axr z sp
research        r iy s er ch sp
resemble        r ix z eh m b el sp
reserved        r ih z er v d sp
residential     r eh z ix d eh n ch el sp
residues        r eh z ix d uw z sp
resin           r eh z ix n sp
resistance      r ih z ih s t ix n s sp
resolute        r eh z ax l uw t sp
resolution      r eh z ax l uw sh ix n sp
resolved        r ih z aa l v d sp
respect         r ih s p eh k t sp
respected       r ih s p eh k t ix d sp
response        r ih s p aa n s sp
responsibility  r ih s p aa n s ix b ih l ix t iy sp
responsible     r ih s p aa n s ix b el sp
responsively    r ih s p aa n s ih v l iy sp
rest            r eh s t sp
restricted      r ih s t r ih k t ix d sp
result          r ih z ah l t sp
results         r ih z ah l t s sp
resumed         r ih z uw m d sp
retaliatory     r ih t ae l ix t ao r iy sp
retinal         r eh t ix n el sp
retire          r ih t ay axr sp
retired         r ih t ay axr d sp
retirement      r ih t ay axr m ax n t sp
retouching      r ih t ah ch ix ng sp
retribution     r eh t r ax b y uw sh ix n sp
reupholstering  r ih ah p hh ow l s t axr ix ng sp
revealed        r ih v iy l d sp
revealing       r ih v iy l ix ng sp
revenge         r ih v eh n jh sp
revenues        r eh v ax n uw z sp
reverberated    r ih v er b axr ey t ix d sp
revolution      r eh v ax l uw sh ix n sp
revolving       r ih v aa l v ix ng sp
revulsion       r ih v ah l sh ix n sp
rewarded        r ih w ao r d ix d sp
rewrite         r ih r ay t sp
rhinoceros      r ay n aa s axr ax s sp
rhubarb         r uw b aa r b sp
rhythm          r ih dh em sp
ribbons         r ih b ix n z sp
rice            r ay s sp
rich            r ih ch sp
rickety         r ih k ix t iy sp
ride            r ay d sp
rides           r ay d z sp
ridge           r ih jh sp
ridiculously    r ax d ih k y uh l ax s l iy sp
riding          r ay d ix ng sp
rifle           r ay f el sp
right           r ay t sp
rights          r ay t s sp
rim             r ih m sp
ringing         r ih ng ix ng sp
riot            r ay ax t sp
ripe            r ay p sp
ripped          r ih p t sp
ripping         r ih p ix ng sp
rise            r ay z sp
risks           r ih s k s sp
riverbank       r ih v axr b ae ng k sp
road            r ow d sp
roadway         r ow d w ey sp
roast           r ow s t sp
rob             r aa b sp
rock            r aa k sp
rockets         r aa k ix t s sp
rode            r ow d sp
role            r ow l sp
roleplaying     r ow l p l ey ix ng sp
roles           r ow l z sp
roll            r ow l sp
rolled          r ow l d sp
romance         r ow m ae n s sp
romantic        r ow m ae n t ih k sp
ron's           r aa n z sp
roof            r uw f sp
roofs           r uw f s sp
rooftree        r uw f t r iy sp
room            r uw m sp
rooms           r uw m z sp
rose            r ow z sp
roses           r ow z z sp
rosy            r ow z iy sp
rough           r ah f sp
roulette's      r uw l eh t s sp
routine         r uw t iy n sp
routinely       r uw t iy n l iy sp
rove            r ow v sp
roy             r oy sp
royal           r oy el sp
ruffles         r ah f el z sp
rug             r ah g sp
rugs            r ah g z sp
ruins           r uw ih n z sp
rule            r uw l sp
ruled           r uw l d sp
rules           r uw l z sp
rumen           r uw m ax n sp
run             r ah n sp
running         r ah n ix ng sp
runs            r ah n z sp
rushing         r ah sh ix ng sp
rust            r ah s t sp
sacrifice       s ae k r ix f ay s sp
saddlebags      s ae d el b ae g z sp
sadness         s ae d n ix s sp
safari          s ax f aa r iy sp
safe            s ey f sp
safekeeping     s ey f k iy p ix ng sp
safer           s ey f axr sp
safety          s ey f t iy sp
saga            s aa g ax sp
sagging         s ae g ix ng sp
said            s eh d sp
sailboat        s ey l b ow t sp
sailed          s ey l d sp
salad           s ae l ax d sp
salads          s ae l ax d z sp
salary          s ae l axr iy sp
sale            s ey l sp
salted          s ao l t ix d sp
same            s ey m sp
sample          s ae m p el sp
samples         s ae m p el z sp
sandwich        s ae n d w ih ch sp
sank            s ae ng k sp
sat             s ae t sp
satellites      s ae t ax l ay t s sp
satirical       s ae t ih r ih k el sp
satisfaction    s ae t ix s f ae k sh ix n sp
satisfy         s ae t ix s f ay sp
saturated       s ae ch uh r ey t ix d sp
saturday        s ae t axr d ey sp
sauce           s ao s sp
sauerkraut      s aw axr k r aw t sp
savagely        s ae v ih jh l iy sp
save            s ey v sp
saved           s ey v d sp
saw             s ao sp
saws            s ao z sp
say             s ey sp
saying          s ey ix ng sp
scabbard        s k ae b axr d sp
scalp           s k ae l p sp
scampered       s k ae m p axr d sp
scar            s k aa r sp
scattered       s k ae t axr d sp
scenery         s iy n axr iy sp
scenes          s iy n z sp
schedule        s k eh jh el sp
scholar         s k aa l axr sp
scholars        s k aa l axr z sp
scholastic      s k ax l ae s t ih k sp
school          s k uw l sp
schooner        s k uw n axr sp
scientific      s ay ix n t ih f ih k sp
scientists      s ay ix n t ih s t s sp
scoop           s k uw p sp
score           s k ao r sp
scored          s k ao r d sp
scour           s k aw r sp
scout's         s k aw t s sp
scowled         s k aw el d sp
scraping        s k r ey p ix ng sp
scratch         s k r ae ch sp
scream          s k r iy m sp
screeched       s k r iy ch t sp
screen          s k r iy n sp
screw           s k r uw sp
screwdriver     s k r uw d r ay v axr sp
sculptor        s k ah l p t axr sp
sculpture       s k ah l p ch axr sp
se              s ey sp
sea             s iy sp
seamstresses    s iy m s t r eh s ix z sp
search          s er ch sp
season          s iy z en sp
seasoning       s iy z en ix ng sp
seats           s iy t s sp
second          s eh k ix n d sp
secondary       s eh k ix n d eh r iy sp
secret          s iy k r ix t sp
sector          s eh k t axr sp
secured         s ih k y uh r d sp
security        s ix k y uh r ix t iy sp
see             s iy sp
seed            s iy d sp
seeds           s iy d z sp
seeing          s iy ix ng sp
seeker          s iy k axr sp
seeking         s iy k ix ng sp
seem            s iy m sp
seemed          s iy m d sp
seems           s iy m z sp
seen            s iy n sp
seismic         s ay z m ih k sp
seldom          s eh l d ax m sp
selecting       s ax l eh k t ix ng sp
selection       s ax l eh k sh ix n sp
selective       s ax l eh k t ih v sp
self            s eh l f sp
self's          s eh l f s sp
seller          s eh l axr sp
semi            s eh m ih sp
senate          s eh n ix t sp
send            s eh n d sp
sending         s eh n d ix ng sp
senior          s iy n y axr sp
sense           s eh n s sp
sensibly        s eh n s ih b l iy sp
sensitive       s eh n s ix t ih v sp
sensory         s eh n s axr iy sp
sensual         s eh n sh uw el sp
sentiment       s eh n t ax m ax n t sp
separate        s eh p axr ey t sp
separate        s eh p r ax t sp
sequoia         s ih k w oy ax sp
series          s ih r iy z sp
sermon          s er m ax n sp
serpent's       s er p ax n t s sp
serve           s er v sp
served          s er v d sp
serves          s er v z sp
service         s er v ax s sp
set             s eh t sp
sets            s eh t s sp
setting         s eh t ix ng sp
settle          s eh t el sp
seven           s eh v ax n sp
seventh         s eh v ax n th sp
seventy         s eh v ax n t iy sp
several         s eh v axr el sp
severe          s ax v ih r sp
sewers          s uw axr z sp
sewing          s ow ix ng sp
sex             s eh k s sp
sexual          s eh k sh uw el sp
sexually        s eh k sh uh l iy sp
shade           sh ey d sp
shadow          sh ae d ow sp
shaft           sh ae f t sp
shag            sh ae g sp
shaken          sh ey k ix n sp
shaker          sh ey k axr sp
shaky           sh ey k iy sp
shall           sh ae l sp
shampoo         sh ae m p uw sp
shape           sh ey p sp
shaped          sh ey p t sp
shapes          sh ey p s sp
share           sh ae r sp
sharp           sh aa r p sp
shattered       sh ae t axr d sp
shaving         sh ey v ix ng sp
shawls          sh ao l z sp
shawn           sh ao n sp
she             sh iy sp
she'd           sh iy d sp
she's           sh iy z sp
shed            sh eh d sp
sheik           sh iy k sp
sheila          sh iy l ax sp
shell           sh eh l sp
shellfish       sh eh l f ih sh sp
shelter         sh eh l t axr sp
sheltered       sh eh l t axr d sp
shelves         sh eh l v z sp
sherbet         sh er b ix t sp
sheriff         sh eh r ix f sp
sheriff's       sh eh r ix f s sp
