"'em" ax m
SILENCE sil
a  ax
muskrat  m ah s k r ae t
must  m ah s t
mustache  m ah s t ae sh
mustard  m ah s t axr d
mutineer  m y uw t en ih r
my  m ay
myopia  m ay ow p iy ax
myself  m ay s eh l f
mysterious  m ih s t ih r iy ax s
mystery  m ih s t axr iy
nagging  n ae g ix ng
nailed  n ey l d
nails  n ey l z
naive  n aa iy v
naked  n ey k ix d
name  n ey m
named  n ey m d
names  n ey m z
nan's  n ae n z
narrow  n ae r ow
narrower  n ae r ow axr
nasty  n ae s t iy
nathan  n ey th ix n
national  n ae sh ix n el
natural  n ae ch axr el
naturally  n ae ch axr ax l iy
nature  n ey ch axr
navigate  n ae v ax g ey t
near  n ih r
near-at-hand  n ih r ae t hh ae n d
nearby  n ih r b ay
nearer  n ih r axr
nearest  n ih r ix s t
nearing  n ih r ix ng
nearly  n ih r l iy
neat  n iy t
necessarily  n eh s ix s eh r ax l iy
necessary  n eh s ix s eh r iy
necessitates  n ih s eh s ax t ey t s
necessity  n ih s eh s ix t iy
neck  n eh k
necklace  n eh k l ax s
nectar  n eh k t axr
need  n iy d
needed  n iy d ix d
needle  n iy d el
needle-sharp  n iy d el sh aa r p
needlepoint  n iy d el p oy n t
needless  n iy d l ax s
needs  n iy d z
neglect  n ax g l eh k t
negligent  n eh g l ih jh ix n t
negligible  n eh g l ih jh ix b el
negotiations  n ix g ow sh iy ey sh ix n z
neither  n iy dh axr
neoclassic  n iy ow k l ae s ih k
nerves  n er v z
nested  n eh s t ix d
nevada  n ax v ae d ax
nevada's  n ax v ae d ax z
never  n eh v axr
nevertheless  n eh v axr dh ax l eh s
new  n uw
news  n uw z
newspaper  n uw z p ey p axr
next  n eh k s t
nice  n ay s
nicely  n ay s l iy
night  n ay t
nightly  n ay t l iy
nightmares  n ay t m ae r z
nights  n ay t s
nihilistic  n ay ix l ih s t ix k
nine  n ay n
nip  n ih p
no  n ow
nobody  n ow b ah d iy
nobody's  n ow b ah d iy z
nodded  n aa d ix d
noise  n oy z
noisy  n oy z iy
non  n aa n
non-nonsense  n aa n aa n s eh n s
non-supervisory  n aa n s uw p axr v ay z axr iy
none  n ah n
nonprofit  n aa n p r aa f ax t
nonsense  n aa n s eh n s
nonsystematic  n aa n s ih s t ax m ae t ix k
nose  n ow z
not  n aa t
note  n ow t
noted  n ow t ix d
notes  n ow t s
noteworthy  n ow t w er dh iy
nothin  n ah th ix n
nothing  n ah th ih ng
notice  n ow t ix s
notices  n ow t ix s ix z
notoriety  n ow t axr ay ax t iy
novel  n aa v el
novelists  n aa v el ix s t s
novelty  n aa v el t iy
now  n aw
nowadays  n aw ax d ey z
nowhere  n ow hh w ae r
nuclear  n uw k l iy axr
nucleus  n uw k l iy ax s
numb  n ah m
number  n ah m b axr
numbering  n ah m b axr ix ng
numbness  n ah m n ix s
numerous  n uw m axr ax s
nurses'  n er s ix z
nut  n ah t
nutrients  n uw t r iy ax n t s
nutrition  n uw t r ih sh ix n
nuts  n ah t s
nymphomaniacs  n ih m f ax m ey n iy ae k s
o'  ow
o'clock  ax k l aa k
oak  ow k
oasis  ow ey s ix s
oatmeal  ow t m iy l
oats  ow t s
obey  ow b ey
obeying  ow b ey ix ng
object  aa b jh eh k t
object  ax b jh eh k t
objective  ax b jh eh k t ih v
objectives  ax b jh eh k t ih v z
objects  aa b jh eh k t s
observance  ax b z er v ix n s
observe  ax b z er v
observers  ax b z er v axr z
obsession  aa b s eh sh ix n
obsessions  aa b s eh sh ix n z
obsolescent  aa b s ax l eh s en t
obstacles  aa b s t ih k el z
obtain  ax b t ey n
obtained  ax b t ey n d
obtaining  ax b t ey n ix ng
obverse  ah b v er s
obvious  aa b v iy ax s
obviously  aa b v iy ax s l iy
occasionally  ax k ey zh ix n ax l iy
occupied  aa k y uw p ay d
occur  ax k er
occurred  ax k er d
occurs  ax k er z
ocean  ow sh ix n
ocean's  ow sh ix n z
oceanographic  ow sh ix n ax g r ae f ih k
octillion  aa k t ih l y ax n
odd  aa d
odds  aa d z
odor  ow d axr
of  ax v
offensive  ax f eh n s ih v
official  ax f ih sh el
officials  ax f ih sh el z
ogress  ow g r eh s
oh  ow
oil  oy l
oil-field  oy l f iy l d
oils  oy l z
oily  oy l iy
ointment  oy n t m ax n t
okay  ow k ey
old  ow l d
old-timers  ow l d t ay m axr z
older  ow l d axr
oldsters  ow l d s t axr z
ole  ow l
olive  aa l ih v
omitted  ow m ih t ix d
omitting  ow m ih t ix ng
once  w ah n s
one  w ah n
one's  w ah n z
one-half  w ah n hh ae f
one-o'clock  w ah n ax k l aa k
one-upmanship  w ah n ah p m ax n sh ih p
ones  w ah n z
onion  ah n y ax n
only  ow n l iy
oozed  uw z d
opaque  ow p ey k
open  ow p ax n
opened  ow p ax n d
opening  ow p ax n ix ng
opens  ow p ax n z
opera  aa p axr ax
operated  aa p axr ey t ix d
operates  aa p axr ey t s
operation  aa p axr ey sh ix n
opinions  ax p ih n y ax n z
opium  ow p iy ax m
opportunity  aa p axr t uw n ix t iy
opposing  ax p ow z ix ng
opposite  aa p ax z ix t
oppressive  ax p r eh s ih v
optical  aa p t ih k el
optimal  aa p t ax m el
optimism  aa p t ax m ih z em
other  ah dh axr
others  ah dh axr z
otherwise  ah dh axr w ay z
otto's  aa t ow z
our  aw r
ourselves  aw r s eh l v z
out  aw t
out-moded  aw t m ow d ix d
outage  aw t ix jh
outcast  aw t k ae s t
outcome  aw t k ah m
outer  aw t axr
outfielders  aw t f iy l d axr z
outfit  aw t f ih t
outgrew  aw t g r uw
outgrow  aw t g r ow
outlook  aw t l uh k
outpost  aw t p ow s t
outputs  aw t p uh t s
outset  aw t s eh t
outside  aw t s ay d
outstanding  aw t s t ae n d ix ng
outward  aw t w axr d
oval  ow v el
over  ow v axr
overcame  ow v er k ey m
overcharged  ow v axr ch aa r jh d
overdue  ow v axr d uw
overeating  ow v axr iy t ix ng
overflowed  ow v axr f l ow d
overhangs  ow v axr hh ae ng z
overhead  ow v axr hh eh d
overlap  ow v axr l ae p
overlapping  ow v axr l ae p ix ng
overloaded  ow v axr l ow d ix d
overlooked  ow v axr l uh k t
overly  ow v axr l iy
overnight  ow v axr n ay t
overnighters  ow v axr n ay t axr z
overplayed  ow v axr p l ey d
overprotection  ow v axr p r ax t eh k sh ix n
overriding  ow v axr r ay d ix ng
oversized  ow v axr s ay z d
overtake  ow v axr t ey k
overthrow  ow v axr th r ow
overweight  ow v er w ey t
overwhelm  ow v axr w eh l m
overwhelmed  ow v axr w eh l m d
overwritten  ow v axr r ih t en
own  ow n
owner  ow n axr
owns  ow n z
oyster  oy s t axr
oysters  oy s t axr z
pa  p aa
pace  p ey s
pack  p ae k
package  p ae k ih jh
packing  p ae k ix ng
padlock  p ae d l aa k
paid  p ey d
pail  p ey l
pain  p ey n
paintings  p ey n t ix ng z
pair  p ae r
pairs  p ae r z
pale  p ey l
palm  p aa m
palpably  p ae l p ax b l iy
pam  p ae m
pamphlets  p ae m f l ix t s
pan  p ae n
panelization  p ae n el ay z ey sh ix n
panic  p ae n ih k
pansies  p ae n z iy z
papaya  p ax p ay ax
paper  p ey p axr
papered  p ey p axr d
paperweight  p ey p axr w ey t
paprika  p ae p r iy k ax
parades  p axr ey d z
paragraph  p ae r ax g r ae f
parallel  p ae r ax l eh l
paralysis  p axr ae l ix s ix s
paramagnetic  p ae r ax m ae g n eh t ix k
paranoid  p ae r ax n oy d
pardon  p aa r d ix n
parental  p axr eh n t el
parenthood  p ae r ax n t hh uh d
park  p aa r k
parking  p aa r k ix ng
parrots  p ae r ax t s
part  p aa r t
part-time  p aa r t ay m
parted  p aa r t ix d
participant  p aa r t ih s ax p ax n t
participants  p aa r t ih s ax p ax n t s
participate  p aa r t ih s ax p ey t
participates  p aa r t ih s ax p ey t s
particular  p axr t ih k y uh l axr
particularly  p axr t ih k y uh l axr l iy
parties  p aa r t iy z
partly  p aa r t l iy
partner  p aa r t n axr
parts  p aa r t s
pass  p ae s
passed  p ae s t
passing  p ae s ix ng
passions  p ae sh ix n z
passive  p ae s ih v
past  p ae s t
paste  p ey s t
pastime  p ae s t ay m
pasture  p ae s ch axr
path  p ae th
pathetic  p ax th eh t ih k
pathological  p ae th ax l aa jh ih k el
patient  p ey sh ix n t
patient's  p ey sh ix n t s
patiently  p ey sh ix n t l iy
patrons  p ey t r ax n z
patsy  p ae t s iy
pattered  p ae t axr d
pattern  p ae t axr n
patterns  p ae t axr n z
pay  p ey
payments  p ey m ax n t s
pays  p ey z
peace  p iy s
peacefully  p iy s f uh l iy
peach  p iy ch
peaches  p iy ch ix z
peanut  p iy n ah t
pearls  p er l z
peas  p iy z
peck  p eh k
peculiar  p ax k y uw l y axr
pedestal  p eh d ix s t el
peeling  p iy l ix ng
peered  p ih r d
penalty  p eh n el t iy
pendulum  p eh n jh ax l ax m
penetrated  p eh n ix t r ey t ix d
penguins  p eh ng g w ax n z
penicillin  p eh n ix s ih l ix n
pension  p eh n sh ix n
people  p iy p el
pepper  p eh p axr
peppered  p eh p axr d
per  p er
per-year  p er y ih r
perception  p axr s eh p sh ix n
perennial  p axr eh n iy el
perfect  p er f eh k t
perfectly  p er f eh k t l iy
perfume  p er f y uw m
perhaps  p axr hh ae p s
perils  p eh r el z
period  p ih r iy ix d
periodical  p ih r iy aa d ix k el
periodically  p ih r iy aa d ix k l iy
periods  p ih r iy ix d z
permanent  p er m ax n ix n t
permit  p er m ih t
perpendicular  p er p ix n d ih k y uh l axr
persistently  p axr s ih s t ix n t l iy
persisting  p axr s ih s t ix ng
person  p er s ix n
personal  p er s ix n el
personality  p er s ix n ae l ix t iy
personalized  p er s ix n ax l ay z d
personnel  p er s ix n eh l
persons  p er s ix n z
persuaded  p axr s w ey d ix d
persuasively  p axr s w ey s ih v l iy
pert  p er t
pertinent  p er t en ix n t
pervasive  p er v ey s ih v
perverse  p er v er s
pessimism  p eh s ax m ih z em
pests  p eh s t s
petticoats  p eh t ih k ow t s
petting  p eh t ix ng
petty  p eh t iy
pewter  p y uw t axr
phase  f ey z
phenomenon  f ih n aa m ax n aa n
phil's  f ih l z
phone  f ow n
phones  f ow n z
phony  f ow n iy
phosphate  f aa s f ey t
phosphates  f aa s f ey t s
photochemical  f ow t ax k eh m ix k el
photographs  f ow t ow g r ae f s
photos  f ow t ow z
phrase  f r ey z
physical  f ih z ih k el
piano  p iy ae n ow
pick  p ih k
picked  p ih k t
picket  p ih k ix t
pickpocket  p ih k p aa k ix t
pickpockets  p ih k p aa k ix t s
picture  p ih k ch axr
pictures  p ih k ch axr z
pie  p ay
piece  p iy s
piecemeal  p iy s m iy l
pieces  p iy s ix z
pig  p ih g
pigeons  p ih jh ix n z
pile  p ay l
piled  p ay l d
pilgrims  p ih l g r ax m z
pill  p ih l
pills  p ih l z
pilots  p ay l ax t s
pilots'  p ay l ax t s
pine  p ay n
pink  p ih ng k
pins  p ih n z
pint  p ay n t
pint-sized  p ay n t s ay z d
pinto  p ih n t ow
pioneer  p ay ax n ih r
piped  p ay p t
pistachio  p ax s t ae sh iy ow
pit  p ih t
pitch  p ih ch
pitched  p ih ch t
pitcher  p ih ch axr
pitiable  p ih t iy ax b el
pity  p ih t iy
pizzerias  p iy t s axr iy ax z
place  p l ey s
placed  p l ey s t
places  p l ey s ix z
plaintiff  p l ey n t ix f
plan  p l ae n
plane  p l ey n
planes  p l ey n z
planets  p l ae n ix t s
planned  p l ae n d
planning  p l ae n ix ng
plans  p l ae n z
plant  p l ae n t
planted  p l ae n t ix d
plasters  p l ae s t axr z
plate  p l ey t
plated  p l ey t ix d
play  p l ey
played  p l ey d
player  p l ey axr
players  p l ey axr z
playin'  p l ey en
plays  p l ey z
pleasant  p l eh z en t
pleasantly  p l eh z en t l iy
please  p l iy z
pleasure  p l eh zh axr
pledge  p l eh jh
plenty  p l eh n t iy
plow  p l aw
plumber  p l ah m axr
plunged  p l ah n jh d
plymouth  p l ih m ix th
plywood  p l ay w uh d
pneumonia  n uh m ow n y ax
poach  p ow ch
pocket  p aa k ix t
pockets  p aa k ix t s
poems  p ow ax m z
poetry  p ow ax t r iy
poets  p ow ax t s
poignancy  p oy n y ax n t s iy
point  p oy n t
pointing  p oy n t ix ng
points  p oy n t s
poised  p oy z d
poison  p oy z en
poisoned  p oy z en d
poisonous  p oy z ix n ix s
poisons  p oy z en z
policeman  p ax l iy s m ae n
policy  p aa l ix s iy
polished  p aa l ih sh t
politeness  p ax l ay t n ix s
political  p ax l ih t ih k el
politics  p aa l ix t ih k s
polyesters  p aa l iy eh s t axr z
pompousness  p aa m p ah s n ix s
pond  p aa n d
pool  p uw l
pool-side  p uw l s ay d
pools  p uw l z
poor  p uh r
poorly  p uh r l iy
pop  p aa p
populace  p aa p y uh l ax s
popular  p aa p y uh l axr
popularity  p aa p y uh l ae r ax t iy
population  p aa p y uh l ey sh ix n
position  p ax z ih sh ix n
positive  p aa z ix t ih v
possessed  p ax z eh s t
possibilities  p aa s ix b ih l ix t iy z
possibility  p aa s ix b ih l ix t iy
possible  p aa s ix b el
post  p ow s t
post-attack  p ow s t ax t ae k
postdate  p ow s t d ey t
postponed  p ow s t p ow n d
potatoes  p ax t ey t ow z
potent  p ow t en t
pottery  p aa t axr iy
poultices  p ow l t ix s ix z
poultry  p ow l t r iy
pound  p aw n d
poverty  p aa v axr t iy
powder  p aw d axr
powders  p aw d axr z
power  p aw axr
powered  p aw axr d
powerful  p aw axr f uh l
powerfully  p aw axr f uh l iy
powers  p aw axr z
practical  p r ae k t ih k el
practically  p r ae k t ih k ax l iy
practiced  p r ae k t ih s t
practices  p r ae k t ih s ix z
praises  p r ey z ix z
prayed  p r ey d
preached  p r iy ch t
precariously  p r ih k ae r iy ax s l iy
preceded  p r iy s iy d ix d
precincts  p r iy s ih ng k t s
precision  p r ih s ih zh ix n
predicament  p r ih d ih k ax m ax n t
predispositions  p r iy d ih s p ax z ih sh ix n z
predominantly  p r ih d aa m ih n ix n t l iy
prefers  p r ih f er z
premiums  p r iy m iy ax m z
preoccupied  p r iy aa k y uw p ay d
preparation  p r eh p axr ey sh ix n
prepare  p r ih p ae r
prepared  p r ih p ae r d
preparing  p r ih p ae r ix ng
preprepared  p r iy p r ih p ae r d
prerequisite  p r iy r eh k w ax z ix t
preschooler  p r iy s k uw l axr
prescribe  p r ih s k r ay b
prescription  p r ih s k r ih p sh ix n
present  p r eh z en t
present  p r ih z eh n t
presented  p r ax z eh t ix d
presently  p r eh z en t l iy
presents  p r ih z eh n t s
preservation  p r eh z axr v ey sh ix n
preserved  p r ih z er v d
preserves  p r ih z er v z
president  p r eh z ix d ix n t
pressure  p r eh sh axr
prestige  p r eh s t iy zh
presumably  p r ih z uw m ax b l iy
presumed  p r ih z uw m d
presumes  p r ih z uw m z
pretend  p r ih t eh n d
pretty  p r ih t iy
prevent  p r ax v eh n t
prevented  p r ax v eh n t ix d
preventing  p r ax v eh n t ix ng
previous  p r iy v iy ax s
price  p r ay s
prices  p r ay s ix z
primacy  p r ay m ax s iy
primarily  p r ay m eh r ax l iy
primary  p r ay m eh r iy
prime  p r ay m
primitive  p r ih m ax t ih v
primly  p r ih m l iy
princes  p r ih n s ix z
principles  p r ih n s ix p el z
print  p r ih n t
prints  p r ih n t s
prison  p r ih z en
prisoner  p r ih z en axr
prisoners  p r ih z en axr z
private  p r ay v ax t
private-eye  p r ay v ax t ay
privately  p r ay v ax t l iy
privations  p r ay v ey sh ix n z
prizes  p r ay z ix z
probabilities  p r aa b ax b ih l ix t iy z
probably  p r aa b ax b l iy
probes  p r ow b z
problem  p r aa b l ax m
problems  p r aa b l ax m z
procaine  p r ow k ey n
procedure  p r ax s iy jh axr
proceeding  p r ow s iy d ix ng
proceeds  p r ow s iy d z
process  p r aa s eh s
processed  p r aa s eh s t
processes  p r aa s eh s ix z
processing  p r aa s eh s ix ng
produce  p r ow d uw s
produced  p r ow d uw s t
product  p r aa d ah k t
production  p r ax d ah k sh ix n
products  p r aa d ah k t s
profession  p r ax f eh sh ix n
professional  p r ax f eh sh ix n el
profit  p r aa f ix t
profits  p r aa f ix t s
program  p r ow g r ae m
programs  p r ow g r ae m z
progress  p r aa g r eh s
progression  p r ax g r eh sh ix n
project  p r aa jh eh k t
project  p r ax jh eh k t
projected  p r aa jh eh k t ix d
projects  p r aa jh eh k t s
prominent  p r aa m ax n ix n t
promote  p r ax m ow t
prompted  p r aa m p t ix d
promptly  p r aa m p t l iy
pronoun  p r ow n aw n
pronunciation  p r ax n ah n s iy ey sh ix n
proof  p r uw f
proper  p r aa p axr
properly  p r aa p axr l iy
properties  p r aa p axr t iy z
property  p r aa p axr t iy
prophets  p r aa f ax t s
proposed  p r ax p ow z d
propriety  p r ax p r ay ax t iy
props  p r aa p s
prose  p r ow z
prospect  p r aa s p eh k t
prospective  p r ax s p eh k t ih v
protected  p r ax t eh k t ix d
protection  p r ax t eh k sh ix n
protects  p r ax t eh k t s
protein  p r ow t iy n
protests  p r ow t eh s t s
proud  p r aw d
prove  p r uw v
proved  p r uw v d
proven  p r uw v ax n
provide  p r ax v ay d
provided  p r ax v ay d ix d
provides  p r ax v ay d z
provisions  p r ax v ih zh ix n z
provocatively  p r ax v aa k ix t ih v l iy
provoked  p r ax v ow k t
prowler  p r aw l axr
psychiatrist  s ay k ay ax t r ih s t
psychical  s ay k ix k el
psychological  s ay k ax l aa jh ih k el
psychologically  s ay k ax l aa jh ih k ax l iy
psychopath  s ay k ow p ae th
public  p ah b l ih k
publicity  p ah b l ih s ix t iy
published  p ah b l ih sh t
pull  p uh l
pulled  p uh l d
pulling  p uh l ix ng
pulsing  p ah l s ix ng
pummeled  p ah m el d
pumped  p ah m p t
pumps  p ah m p s
punch  p ah n ch
puncturing  p ah ng k ch axr ix ng
pungent  p ah n jh ix n t
punish  p ah n ih sh
punishes  p ah n ih sh ix z
punishment  p ah n ih sh m ax n t
puny  p y uw n iy
puppets  p ah p ax t s
purchase  p er ch ix s
purchased  p er ch ix s t
purchasers  p er ch ix s axr z
pure  p y uh r
puree  p y uh r ey
purists  p y uh r ix s t s
purple  p er p el
purpose  p er p ax s
purposeless  p er p ax s l ax s
purposely  p er p ax s l iy
pursed  p er s t
pursued  p axr s uw d
pursuing  p axr s uw ix ng
push  p uh sh
push-ups  p uh sh ah p s
put  p uh t
puzzlement  p ah z el m ax n t
puzzling  p ah z el ix ng
quackery  k w ae k axr iy
quality  k w aa l ix t iy
queen  k w iy n
querulous  k w eh r el ax s
question  k w eh s ch ix n
questions  k w eh s ch ix n z
quick  k w ih k
quickly  k w ih k l iy
quieted  k w ay ix t ix d
quietly  k w ay ix t l iy
quince  k w ih n s
quite  k w ay t
quote  k w ow t
rabbit  r ae b ix t
rabbits  r ae b ix t s
rabies  r ey b iy z
raccoons  r ae k uw n z
race  r ey s
rachel's  r ey ch el z
racing  r ey s ix ng
rack  r ae k
racy  r ey s iy
radar  r ey d aa r
radiated  r ey d iy ey t ix d
radiation  r ey d iy ey sh ix n
radicalism  r ae d ih k el ih z em
radio  r ey d iy ow
radioactive  r ey d iy ow ae k t ix v
radioactivity  r ey d iy ow ae k t ih v ax t iy
radiosterilization  r ey d iy ow s t eh r el ay z ey sh ix n
rag  r ae g
rags  r ae g z
rail  r ey l
railroad  r ey l r ow d
rain  r ey n
raindrops  r ey n d r aa p s
rains  r ey n z
raisers  r ey z axr z
raisins  r ey z en z
raked  r ey k t
ralph  r ae l f
ramifications  r ae m ax f ax k ey sh ix n z
ran  r ae n
ranch  r ae n ch
random  r ae n d ax m
rang  r ae ng
range  r ey n jh
rape  r ey p
rapid  r ae p ix d
rapidly  r ae p ax d l iy
rare  r ae r
rarely  r ae r l iy
rasped  r ae s p t
rate  r ey t
rated  r ey t ix d
rates  r ey t s
rather  r ae dh axr
rating  r ey t ix ng
rationalize  r ae sh ix n el ay z
rationing  r ae sh ix n ix ng
rattled  r ae t el d
rattlesnake  r ae t el s n ey k
ray  r ey
reach  r iy ch
reached  r iy ch t
reaction  r iy ae k sh ix n
read  r eh d
read  r iy d
reader  r iy d axr
readiness  r eh d ih n ix s
reading  r iy d ix ng
reads  r iy d z
ready  r eh d iy
real  r iy l
realism  r iy l ih z em
realistic  r iy l ih s t ih k
reality  r iy ae l ix t iy
realization  r iy l ax z ey sh ix n
realize  r iy l ay z
realizing  r iy l ay z ix ng
really  r iy l iy
rearrange  r iy ax r ey n jh
reason  r iy z en
reasonable  r iy z en ax b el
reasonably  r iy z en ax b l iy
reasons  r iy z en z
reassurance  r iy ax sh uh r ix n s
reassure  r iy ax sh uh r
reassuring  r iy ax sh uh r ix ng
received  r ih s iy v d
receiving  r ih s iy v ix ng
recent  r iy s en t
recently  r iy s en t l iy
receptacle  r ih s eh p t ih k el
reception  r ih s eh p sh ix n
recognition  r eh k ax g n ih sh ix n
recognize  r eh k ax g n ay z
recognized  r eh k ax g n ay z d
recoiled  r ih k oy l d
recommendation  r eh k ax m eh n d ey sh ix n
recommended  r eh k ax m eh n d ix d
reconnaissance  r ih k aa n ix z ix n s
reconsider  r iy k ix n s ih d axr
reconsidered  r iy k ix n s ih d axr d
record  r eh k axr d
records  r eh k axr d z
recreation  r eh k r iy ey sh ix n
recriminations  r ax k r ih m ih n ey sh ix n z
rector  r eh k t axr
recuperating  r ih k uw p axr ey t ix ng
red  r eh d
red-handed  r eh d hh ae n d ix d
redcoats  r eh d k ow t s
redecorating  r iy d eh k er ey t ih ng
redeposition  r iy d eh p ax z ih sh ix n
redheads  r eh d hh eh d z
redoubled  r ax d ah b el d
reduced  r ih d uw s t
reducing  r ih d uw s ix ng
reduction  r ih d ah k sh ix n
redwoods  r eh d w uh d z
reference  r eh f axr n s
referred  r ih f er d
reflect  r ih f l eh k t
reflects  r ih f l eh k t s
reflexes  r iy f l eh k s ix z
refrigerator  r ih f r ih jh axr ey t axr
refund  r iy f ah n d
refurbishing  r ih f er b ih sh ix ng
refusal  r ih f y uw z el
refuse  r ih f y uw z
refused  r ih f y uw z d
regard  r ih g aa r d
regarding  r ih g aa r d ix ng
regenerating  r iy jh eh n axr ey t ix ng
regret  r ih g r eh t
regular  r eh g y uh l axr
regulars  r eh g y uh l axr z
regulations  r eh g y uh l ey sh ix n z
regulative  r eh g y uh l ax t ih v
rehabilitation  r iy hh ax b ih l ih t ey sh ix n
rejected  r ih jh eh k t ix d
related  r ih l ey t ix d
relationship  r ih l ey sh ix n sh ih p
relatively  r eh l ix t ih v l iy
relaxed  r ih l ae k s t
release  r ih l iy s
released  r ih l iy s t
relief  r ih l iy f
relieved  r ih l iy v d
relieving  r ih l iy v ix ng
religion  r ih l ih jh ix n
relinquishing  r ih l ih ng k w ih sh ix ng
relish  r eh l ih sh
rely  r ih l ay
remain  r ih m ey n
remained  r ih m ey n d
remaining  r ih m ey n ix ng
remains  r ih m ey n z
remember  r ih m eh m b axr
remembered  r ih m eh m b axr d
remembers  r ih m eh m b axr z
remembrance  r ih m eh m b r ix n s
reminded  r ih m ay n d ix d
reminds  r ih m ay n d z
reminiscence  r eh m ax n ih s ix n s
remote  r ih m ow t
removal  r ih m uw v el
remove  r ih m uw v
rent  r eh n t
rented  r eh n t ix d
renunciation  r ih n ah n s iy ey sh ix n
repainted  r ix p ey n t ix d
repainting  r ix p ey n t ix ng
repeat  r ih p iy t
repeated  r ih p iy t ix d
repetition  r eh p ax t ih sh ix n
replace  r ih p l ey s
replaced  r ih p l ey s t
replenish  r ih p l eh n ih sh
replied  r ih p l ay d
reply  r ih p l ay
represent  r eh p r iy z eh n t
representation  r eh p r iy z eh n t ey sh ix n
represented  r eh p r iy z eh n t ix d
represents  r eh p r iy z eh n t s
reproduce  r iy p r ax d uw s
reptiles  r eh p t el z
repugnant  r ih p ah g n ix n t
requests  r ih k w eh s t s
required  r ih k w ay axr d
requirements  r ih k w ay axr m ax n t s
requires  r ih k w ay axr z
rescue  r eh s k y uw
research  r iy s er ch
resemble  r ix z eh m b el
reserved  r ih z er v d
residential  r eh z ix d eh n ch el
resides  r ih z ay d z
residues  r eh z ix d uw z
resin  r eh z ix n
resin-saturated  r eh z ix n s ae ch uh r ey t ix d
resistance  r ih z ih s t ix n s
resolute  r eh z ax l uw t
resolution  r eh z ax l uw sh ix n
resolved  r ih z aa l v d
respect  r ih s p eh k t
respected  r ih s p eh k t ix d
response  r ih s p aa n s
responsibility  r ih s p aa n s ix b ih l ix t iy
responsible  r ih s p aa n s ix b el
responsively  r ih s p aa n s ih v l iy
rest  r eh s t
restricted  r ih s t r ih k t ix d
result  r ih z ah l t
resulted  r ih z ah l t ix d
results  r ih z ah l t s
resumed  r ih z uw m d
retinal  r eh t ix n el
retire  r ih t ay axr
retired  r ih t ay axr d
retirement  r ih t ay axr m ax n t
retires  r ih t ay axr z
retouching  r ih t ah ch ix ng
retracted  r ih t r ae k t ix d
retribution  r eh t r ax b y uw sh ix n
return  r ih t er n
reupholstering  r ih ah p hh ow l s t axr ix ng
revealed  r ih v iy l d
revealing  r ih v iy l ix ng
revenge  r ih v eh n jh
revenues  r eh v ax n uw z
reverberated  r ih v er b axr ey t ix d
review  r ih v y uw
reviewers  r ih v y uw axr z
revised  r ih v ay z d
revolution  r eh v ax l uw sh ix n
revolving  r ih v aa l v ix ng
revulsion  r ih v ah l sh ix n
rewrite  r ih r ay t
rhinoceros  r ay n aa s axr ax s
rhubarb  r uw b aa r b
rhythm  r ih dh em
rhythmically  r ih dh m ix k l iy
ribbons  r ih b ix n z
rice  r ay s
rich  r ih ch
rickety  r ih k ix t iy
ride  r ay d
rides  r ay d z
ridge  r ih jh
ridiculously  r ax d ih k y uh l ax s l iy
riding  r ay d ix ng
rifle  r ay f el
rifleman  r ay f el m ax n
right  r ay t
rights  r ay t s
rim  r ih m
ringing  r ih ng ix ng
riot  r ay ax t
ripe  r ay p
ripped  r ih p t
ripping  r ih p ix ng
rise  r ay z
rising  r ay z ix ng
risks  r ih s k s
rites  r ay t s
ritual  r ih ch uw el
rituals  r ih ch uw el z
river  r ih v axr
riverbank  r ih v axr b ae ng k
road  r ow d
roadway  r ow d w ey
roam  r ow m
roast  r ow s t
roasts  r ow s t s
rob  r aa b
robin  r aa b ix n
rock  r aa k
rock-and-roll  r aa k ae n d r ow l
rockets  r aa k ix t s
rocky  r aa k iy
rode  r ow d
rods  r aa d z
roger's  r aa jh axr z
role  r ow l
roleplaying  r ow l p l ey ix ng
roles  r ow l z
roll  r ow l
rolled  r ow l d
rolls  r ow l z
romance  r ow m ae n s
romantic  r ow m ae n t ih k
ron's  r aa n z
roof  r uw f
roofs  r uw f s
rooftree  r uw f t r iy
room  r uw m
rooms  r uw m z
root  r uw t
rootless  r uw t l ax s
ropes  r ow p s
rose  r ow z
roses  r ow z z
rosy  r ow z iy
rough  r ah f
rough-tough  r ah f t ah f
roulette's  r uw l eh t s
routine  r uw t iy n
routinely  r uw t iy n l iy
rove  r ow v
roy  r oy
royal  r oy el
rubbed  r ah b d
rubberized  r ah b axr ay z d
rubbish  r ah b ih sh
ruffles  r ah f el z
rug  r ah g
rugs  r ah g z
ruins  r uw ih n z
rule  r uw l
ruled  r uw l d
rules  r uw l z
rumen  r uw m ax n
run  r ah n
run-down  r ah n d aw n
running  r ah n ix ng
runs  r ah n z
rural  r uh r el
rushing  r ah sh ix ng
rust  r ah s t
rustling  r ah s el ix ng
sacrifice  s ae k r ix f ay s
sacrificial  s ae k r ax f ih sh el
saddlebags  s ae d el b ae g z
saddled  s ae d el d
sadness  s ae d n ix s
safari  s ax f aa r iy
safe  s ey f
safekeeping  s ey f k iy p ix ng
safer  s ey f axr
safety  s ey f t iy
saga  s aa g ax
sagging  s ae g ix ng
said  s eh d
sailboat  s ey l b ow t
sailed  s ey l d
sailors  s ey l axr z
salad  s ae l ax d
salads  s ae l ax d z
